id_firma,domeniu,dovada
322,,doar directoare (termene/targetare/kompass/linkedin); niciun site propriu in rezultate
323,librabank.ro,pagina Contact Libra Internet Bank pe librabank.ro
324,,doar directoare; agentie din grupul Publicis fara site propriu in rezultate
325,lubexpert.ro,lubexpert.ro - Lubexpert Romania distribuitor autorizat uleiuri ExxonMobil (cautare 2)
58,lusiunionconf.ro,rezultatul indica site-ul www.lusiunionconf.ro pentru Lusi Union Silusi SRL Targu Trotus
312,kinnarps.ro,rezultatul indica site-ul www.kinnarps.ro pentru Kinnarps SRL Bucuresti
313,kinstellar.com,site propriu; pagina Bucharest office pe kinstellar.com
315,rompetrol.ro,rompetrol.ro - site-ul grupului Rompetrol din care face parte KMG Rompetrol SRL
316,knauf.com,pagini oficiale Knauf Insulation Romania pe knauf.com/ro-RO (cautare 2)
317,knightfrank.com.ro,knightfrank.com.ro - site propriu Knight Frank Romania
386,pfizer.ro,pagina Contact Pfizer Romania pe pfizer.ro
388,phm.ro,phm.ro - PHM ComServ echipamente medicale; email sales.online@phm.ro
390,,doar directoare (kompass/confidas/volza); niciun site propriu in rezultate
392,,doar directoare; firma trading energie fara site in rezultate
394,,doar directoare si profiluri (emis/clustertec); niciun site propriu in rezultate
395,porr.ro,porr.ro Imprint PORR Romania - sucursala PORR Bau GmbH Viena
375,hartmann.info,hartmann.info/ro-ro - site HARTMANN cu sectiune Romania
376,,doar directoare si corporate.paypoint.com (grupul-mama UK); fara site propriu RO in rezultate
377,romania.payu.com,romania.payu.com - Homepage PayU Romania (cautare 2)
379,,niciun rezultat relevant pentru firma romaneasca
381,,doar LinkedIn Pegasus Engineering SRL; pegasusengineering.net e firma din SUA
383,pepco.ro,pepco.ro - Pepco Romania site oficial magazine (cautare 2)
384,perfectcare.eu,perfectcare.eu - site Perfect Care Distribution
385,pernod-ricard.com,listafirme indica website pernod-ricard.com pentru Pernod Ricard Romania SRL
366,,doar directoare; niciun site propriu in rezultate
367,,rezultatele arata PRBAR (patronat prbar.ro) - alta entitate; fara site propriu al firmei
369,pandora.net,ro.pandora.net - pagina oficiala Pandora Romania
371,,park administrat de ProFaur; doar wikipedia si portaluri imobiliare in rezultate
372,douglas.ro,douglas.ro - Douglas Romania parfumuri si cosmetice (cautare 2)
373,,doar directoare; niciun site propriu in rezultate
356,oracle.com,oracle.com - pagini contact Oracle Europe/Romania
358,ecotic.ro,ecotic.ro - site Organizatia ECOTIC (regulamente si pagini informare)
360,otho.ro,otho.ro - Echipa Otho.ro Profesionisti in Imobiliare Bucuresti
361,otpbank.ro,otpbank.ro - site oficial OTP Bank Romania (cautare 2; fuzionata cu Banca Transilvania 2025)
362,,doar directoare (lege5/paginiaurii/termene); niciun site propriu in rezultate
363,oxygencomms.ro,agentia Oxygen Bucuresti Dimitrie Pompeiu; site www.oxygencomms.ro
364,oxygencomms.ro,Oxygen Public Relations SRL = agentia Oxygen; site oxygencomms.ro; email office@oxygencomms.ro
365,,doar directoare; niciun site propriu Dussmann Romania in rezultate
438,radacini.ro,radacini.ro - site Radacini cu retea showroomuri (cautare 2)
440,raiffeisenasigurari.ro,raiffeisenasigurari.ro - site propriu Raiffeisen Broker de Asigurare-Reasigurare
444,rasirom.ro,rasirom.ro - site propriu RASIROM RA
445,digi.ro,RCS & RDS opereaza brandul Digi; document oficial pe s.digi.ro in rezultate
446,real-sol.ro,real-sol.ro - Services for Real Estate Investors; proiect Primaverii sector 1
448,,doar directoare si strepsils.ro (site de brand); fara site propriu Reckitt RO in rezultate
449,recordati.ro,pagina Contact Recordati Romania pe recordati.ro
428,,doar profiluri si PDF publicisgroupe.com (grup global); fara site propriu RO in rezultate
430,pwc.ro,pwc.ro - site PwC Romania; email ro_office_inbox@pwc.com
431,pzp.ro,rezultatul indica site-ul www.pzp.ro pentru PZP Arhitectura
432,,doar listafirme.eu; niciun site propriu in rezultate
434,pepsico.ro,imbuteliator autorizat Pepsi; pagina CONTACT PepsiCo Romania (pepsico.ro) in rezultate
