id_firma,domeniu,doveda
1276,rutilliadolfo.com,Supply Chain logistics Italy
1278,sandra.ro,Family Business Volkswagen dealer
1279,,no website identified
1280,spiasi.ro,Public services green spaces
1282,signivis.com,Advertising platform communications
1260,ilpasso.ro,Leather footwear retail shops
1261,pharma-iasi.ro,Pharmaceutical distributor OTC
1262,,no website visible
1264,primaconstruct.ro,Construction metallic structures waterproofing
1266,quartzmatrix.ro,IT solutions engineering business
1267,quatrogrup.com,Food beverages distribution construction
1270,resonance.ro,Electrical equipment wholesale trade
1271,ritmic-com.ro,Waste collection recycling services
1251,misavan.ro,Cleaning products professional supplies
1252,,no website identified
1253,,no website identified
1254,,no website identified
1255,,no website identified
1256,,no website identified
1257,omcomould.com,Glass moulds manufacturing export
1258,palasiasi.ro,Shopping mall lifestyle urban
1234,,no website identified
1235,kosarom.ro,Meat processing salted products
1241,lorimermarket.ro,Retail supermarket family business
1242,mado.ro,Catering services restaurant events
1244,marcel.com.ro,Meat mezeluri products European
1245,mbd.ro,IT solutions distribution hardware
1249,migdalin.ro,Beverage distributor dietary food
1250,,no website identified
1341,,no website identified
1345,,no website identified
1346,,no website identified
1348,,no website identified
1349,,no website identified
1351,,no website identified
1324,,no website identified
1331,,no website identified
1333,,no website identified
1334,,no website identified
1338,adimag.ro,Construction materials showroom Targu
1293,usi365.ro,Wooden doors construction materials
1294,,no website identified
1295,vetro.vet,Veterinary medicines animal products
1298,zoork.ro,Electrical installations technical consulting
1308,,no website identified
1320,,no website identified
1323,,no website identified
1283,,no website identified
1285,,no website identified
