id_firma,domeniu,dovada
1439,,
1561,,
1562,,
1563,roz-bombon.ro,Cofetăria Roz BomBon contact
1567,,
1570,mobilatarnaveni.ro,Mobila Tarnaveni website
1542,sccfmures.ro,Railway construction company
1546,,
1547,coraliasighisoara.ro,Retail company website
1548,costacos-exchange.ro,Currency exchange company
1550,,
1552,,
1555,,
1520,,
1525,,
1530,,
1531,,
1534,,
1541,csigrup.ro,Construction inox distributor
1491,,
1503,,
1505,,
1513,cityautomobilemures.ro,Car dealer website
1514,,
1515,,
2290,,
2291,,
2292,,
2293,roman.arcelormittal.com,ArcelorMittal tubular products
2294,augsburgknitwear.com,Knitwear factory website
2296,,
2297,bicoindustries.ro,Fiberglass mesh manufacturer
2265,,
2268,,
2276,,
2280,,
2285,zolvas.com,E-commerce products website
2288,fereastra-adf.ro,PVC windows doors manufacturer
2289,,
2241,,
2243,,
2254,,
2258,,
2259,,
2219,betoanemures.ro,Concrete producer Multibet
2224,,
2225,tubsystem.ro,Plumbing supplies store
2229,,
2234,,
2298,briliant-group.ro,Car wash vulcanization fuel
