id_firma,domeniu,dovada
2491,tixy.ro,Contact page mention
2490,,No website found
15,arelux.ro,Official website
16,,No website found
17,,No website found
18,btdirect.ro,Search result link
19,barleta.ro,Official website
20,barlinek.ro,Business profile
2334,,No website found
2335,,No website found
2336,,No website found
2337,,No website found
2340,acetsv.ro,Official website
2341,agrolinebucovina.ro,Contact page
2342,albemma.ro,Contact page mention
2345,alsim.com.ro,Official group website
2325,,No website found
2326,,No website found
2327,termoplast.ro,Official website
2328,,No website found
2329,,No website found
2330,,No website found
2331,usedful.eu,Official website
2333,voltax.ro,Official website
2312,,No website found
2313,logitrans-romania.com,Imprint page
2314,,No website found
2319,moldocor.ro,Official website
2320,odloromania.com,Outlet shop site
2321,pni.ro,Company websites
2322,petrouzinex.com,Official website
2324,,No website found
2300,cibi.ro,Official website
2302,apaserv.eu,Official website
2305,dinamic92.ro,Contact page
2306,dolinex.ro,Official website
2307,eturia.ro,Contact page
2308,farmaciaardealul.ro,Contact page
2309,,No website found
2311,kober.ro,Official website
1173,,No website found
1175,brikston.ro,Official website
1176,,No website found
1177,,No website found
1178,,No website found
1186,,No website found
1187,centric.eu,Contact page
1161,,No website found
1162,ford-iasi.ro,Contact link
1163,,No website found
